activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
1,1,14,777,312,916,327,555,329,315,895,343,33928,0,35936
1,1,14,778,935,508,745,219,345,635,480,648,32931,0,35942
0,0,14,63,781,721,713,854,1157,703,438,341,31784,0,35953
1,1,14,719,826,362,743,375,969,205,632,1058,30117,0,35962
0,0,14,171,432,610,446,530,369,201,498,402,31746,0,35961
0,1,14,626,815,605,425,292,505,352,915,300,12676,1,35962
1,1,14,781,190,699,322,377,655,362,658,469,27191,1,35957
1,1,14,809,405,290,208,592,738,506,498,379,25671,1,35972
0,1,14,528,467,299,464,360,323,522,174,382,27808,0,35977
0,0,15,146,661,176,297,371,871,661,340,288,33810,0,35974
0,1,14,676,431,692,374,806,632,401,283,836,20239,1,35944
2,2,14,1136,807,313,108,483,375,143,146,461,27768,1,35930
2,2,14,1016,477,786,680,302,508,368,730,692,34535,0,35953
2,2,15,997,721,80,678,495,999,964,866,218,31136,0,35988
2,2,15,1063,640,20,376,544,364,860,160,606,34131,0,36009
2,2,14,894,236,193,286,401,184,761,644,649,34013,0,35989
0,0,14,342,287,148,616,710,557,257,276,140,30508,0,35972
1,1,14,580,648,564,439,381,450,308,574,515,34542,0,35983
2,2,14,1233,316,262,49,880,330,85,571,701,33164,0,35993
0,0,14,300,633,210,364,151,442,833,314,922,32622,0,35989
2,2,14,1166,524,225,604,262,208,148,287,420,34545,0,35982
1,1,14,666,829,754,222,155,129,505,19,370,32126,0,35973
0,2,14,867,601,344,481,327,497,443,796,69,23016,1,35992
0,1,14,517,381,620,300,232,601,48,354,499,17228,1,36010
1,1,14,674,640,608,722,695,325,974,435,437,28082,0,36022
1,1,14,735,99,308,545,640,555,754,383,204,33241,0,36022
1,2,15,1105,523,260,408,550,673,128,624,409,26874,1,36029
1,2,14,849,726,559,430,375,203,273,516,519,31450,0,36053
1,2,14,1045,628,442,465,458,1136,568,322,694,24534,1,36075
1,2,14,881,223,278,684,461,747,719,76,647,30921,0,36070
0,0,14,304,761,237,807,521,617,261,260,122,16540,0,36049
1,1,15,646,123,375,708,509,208,359,436,621,29319,0,36042
1,2,14,1035,291,90,434,955,772,622,143,408,24995,1,36033
0,0,14,207,1093,136,359,271,265,136,690,795,31314,0,36027
0,0,14,327,435,793,681,570,277,844,67,232,26171,0,36029
2,3,15,1313,790,266,414,517,442,318,418,340,27972,1,36017
1,1,14,603,737,323,1307,331,264,37,476,218,28842,0,36007
0,0,14,322,341,303,598,627,704,285,404,630,13677,0,35993
1,1,14,670,41,1067,271,745,642,190,263,839,31927,0,35991
0,0,14,226,964,460,900,694,740,505,581,1405,29566,0,35987
0,0,14,181,130,337,220,496,42,262,128,422,31682,0,35989
3,3,14,1648,704,606,1056,714,354,389,849,559,32408,0,35982
1,1,14,544,33,781,594,172,217,671,529,446,30427,0,35970
1,1,15,874,546,730,699,698,483,277,901,865,26903,1,35972
1,2,14,929,838,513,355,406,540,451,626,155,27362,1,35976
0,0,14,368,659,684,366,748,850,514,757,705,24575,0,36002
0,0,14,244,339,511,896,625,296,633,332,646,26501,0,35982
1,2,14,1158,428,353,450,439,102,336,268,222,25398,2,35958
2,2,14,944,374,295,604,156,1055,399,679,705,34040,0,35941
1,1,14,536,1159,947,817,1048,720,382,287,451,27612,0,35950
0,0,15,375,389,351,535,835,246,385,658,334,26617,0,35967
0,2,14,1003,634,713,228,851,381,633,923,1203,19880,2,35961
1,2,14,865,1018,94,324,162,157,495,764,136,32654,0,35974
1,2,14,1030,892,271,556,757,99,508,233,252,25348,1,35984
0,1,14,579,274,403,444,927,800,151,427,613,27311,0,35986
4,4,14,2014,878,567,575,235,335,305,1119,645,34478,0,35979
0,0,14,175,535,296,486,126,383,422,440,258,9219,0,35950
2,2,14,1139,331,378,954,540,472,854,317,460,27479,1,35945
2,2,14,899,501,516,193,108,829,248,837,149,35099,0,35951
1,1,14,836,363,746,230,694,422,208,663,362,34251,0,35972
1,1,15,801,1008,574,996,279,751,42,390,793,25525,1,35997
0,0,15,317,564,575,314,614,355,72,475,447,23227,0,35986
2,2,14,879,964,560,731,703,500,476,642,208,33847,0,35977
2,2,14,985,745,529,611,551,472,523,477,728,33176,0,35985
1,1,15,498,405,494,699,401,610,242,378,584,32923,0,35955
0,0,15,60,280,743,285,906,97,570,549,291,17124,0,35944
0,0,14,415,146,21,781,544,463,597,292,420,30836,0,35951
2,2,14,1110,572,304,517,442,363,272,518,207,32573,0,35932
1,1,15,711,651,530,304,696,505,356,366,124,25960,1,35927
2,2,14,980,962,825,528,510,787,916,965,496,33742,0,35947
1,1,14,785,1256,364,482,1323,806,147,528,498,31644,0,35978
1,2,14,1043,361,694,497,658,746,608,352,585,28320,1,35971
2,2,14,945,401,519,624,181,209,494,354,511,35111,0,35955
1,1,14,827,152,372,309,633,1030,593,548,150,28092,1,35946
1,1,14,673,307,1028,610,393,405,564,623,299,28865,0,35947
3,3,14,1469,527,629,822,824,380,426,147,504,33175,0,35934
0,1,15,543,467,460,978,138,671,418,506,672,27144,0,35927
1,2,14,1126,538,1040,439,617,627,770,239,633,24607,2,35935
3,3,14,1700,158,349,422,261,200,839,940,219,29837,1,35936
1,1,14,679,172,500,380,81,525,567,678,466,32454,0,35949
1,2,14,861,639,406,407,239,594,88,402,639,33866,0,35960
1,1,14,555,437,211,264,95,545,99,206,517,29758,0,35968
0,1,14,454,331,349,351,219,151,569,303,78,19612,1,35957
