activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
14747,14747,4139,2529,2167,62840,2595,25679,623,41144,679,47504,69,91,34795
14748,14748,4139,2734,2531,64343,2620,23197,2855,42231,1566,49987,69,92,34796
14756,14756,4140,4386,2111,62288,2746,24660,369,40583,1397,47017,67,89,34807
14760,14761,4141,5647,2147,63483,1637,23677,1647,42098,709,49237,69,92,34810
14769,14769,4142,7760,2233,61167,3176,26497,1204,40409,2000,46867,66,87,34820
14760,14761,4140,5498,2417,63195,2804,24525,1859,41785,672,49724,70,92,34811
14763,14763,4141,6178,1761,62921,2694,26839,762,39679,799,47374,67,89,34814
14749,14749,4139,2815,2275,64651,2880,24853,1786,40819,283,49630,69,91,34799
14752,14752,4139,3789,1384,63897,2821,23262,864,40455,510,49299,69,91,34801
14769,14770,4142,7536,2330,64119,3197,25006,1484,40967,593,48957,68,90,34822
14778,14778,4143,9519,3275,63156,2960,25899,977,39832,1507,47400,66,87,34832
14769,14769,4142,7663,2179,62978,3000,24665,826,40159,1771,47929,66,88,34821
14762,14762,4141,5519,1723,377,2405,22954,3184,42490,1452,50716,69,91,34814
14779,14779,4143,10019,2445,63616,2142,25605,594,40241,1892,48099,67,89,34832
14789,14789,4145,12173,2137,63746,1807,24661,1127,39825,1243,48292,65,86,34843
14783,14783,4144,10812,2943,65331,2639,22331,2126,42763,1378,50952,70,93,34836
14784,14784,4144,10893,2046,63855,1977,25645,466,40544,815,48859,68,90,34838
14767,14767,4141,7264,1821,64667,2366,24563,753,38308,912,47543,67,88,34819
14763,14763,4141,6560,2218,65310,2096,22838,1453,40137,796,49260,69,91,34812
14782,14782,4143,10255,1906,64272,3000,24861,997,37082,1115,46157,67,89,34837
14776,14776,4143,9133,2894,64787,2939,24210,1961,40978,572,48938,68,90,34829
14773,14773,4142,7933,2257,81,1686,23298,1597,40469,1050,49451,70,92,34828
14758,14758,4140,5264,2999,63911,3681,27020,869,38361,1862,46563,67,89,34808
14758,14758,4140,4989,2237,64193,3060,25208,958,41240,355,48078,67,88,34808
14769,14770,4142,7717,2611,65468,3136,24128,2598,41899,718,50523,70,92,34821
14776,14777,4143,9591,2274,63967,3279,26366,316,39706,882,48453,67,89,34828
14776,14776,4143,8910,2625,64653,4060,27233,368,39754,344,48195,67,89,34829
14773,14773,4142,8238,2354,64731,2785,26575,421,39378,867,47941,67,88,34827
14791,14791,4144,12053,1751,64371,3191,26865,694,40005,1617,47792,68,89,34849
14793,14793,4145,12887,2017,64740,2339,26800,546,40353,183,48153,68,90,34850
14770,14771,4142,7670,2257,64317,2373,25653,897,41645,1649,48691,67,89,34824
14755,14755,4139,3682,587,64210,2387,25177,661,42337,1463,47974,67,88,34808
14778,14778,4143,9065,2022,472,1562,24394,2248,41831,1885,49938,70,92,34834
14796,14796,4145,13236,2625,65040,2591,26491,338,40147,854,48223,67,89,34855
14798,14798,4145,13545,1656,64879,1637,26135,712,39857,485,48484,68,90,34858
14800,14801,4146,14419,1707,154,2044,26802,906,39743,906,48635,67,89,34859
14799,14799,4146,14003,2025,64428,2233,27445,491,39470,522,47854,68,91,34857
14799,14800,4146,14149,1343,915,2174,25727,887,40890,714,48100,69,91,34858
14788,14788,4144,11647,1606,65479,3314,26509,749,40238,459,48419,68,90,34844
14788,14788,4144,11549,1877,172,3080,26209,885,39746,101,47668,67,88,34844
14781,14781,4143,10049,2099,63964,2757,26657,111,39651,852,48466,68,90,34836
14779,14779,4143,9292,2123,64553,2672,26584,774,39109,328,47530,67,89,34836
14782,14782,4143,10254,1653,64912,2301,26431,1489,39022,394,49035,69,91,34837
14767,14768,4141,7023,2108,186,2285,25563,1104,39159,952,47285,68,90,34820
14775,14775,4142,8829,2177,63890,3137,26262,238,37732,1392,46698,67,88,34829
14775,14775,4142,8592,2558,1105,2380,25431,1089,39895,571,47935,68,91,34829
14779,14779,4143,9594,1755,160,1921,24299,1698,40485,806,49069,68,90,34834
